Month,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,17453.0,17166.0,19007.0,17032.0,17565.0,27965.0,28337.0,24006.0,25980.0,21497.0
2,16828.0,17295.0,18825.0,19465.0,19522.0,24374.0,25371.0,25438.0,24594.0,23729.0
3,16547.0,17707.0,18686.0,19705.0,15580.0,25710.0,25170.0,26376.0,23721.0,24716.0
4,17066.0,17732.0,18650.0,19810.0,12122.0,28797.0,24506.0,25295.0,24540.0,24699.0
5,18114.0,17945.0,19142.0,19111.0,15426.0,27117.0,24782.0,25404.0,24232.0,
6,14718.0,18588.0,19167.0,19526.0,20748.0,24706.0,23803.0,27108.0,24437.0,
7,18070.0,18251.0,19374.0,18759.0,29776.0,25381.0,24638.0,27228.0,23978.0,
8,16651.0,18336.0,18805.0,18862.0,28888.0,25196.0,24305.0,26921.0,23991.0,
9,17711.0,17778.0,18965.0,19302.0,26450.0,24557.0,25084.0,26152.0,23913.0,
10,16180.0,18088.0,19103.0,19015.0,24590.0,25776.0,24151.0,26753.0,23397.0,
11,17037.0,18691.0,18776.0,19224.0,23453.0,25298.0,24039.0,26832.0,23726.0,
12,17721.0,17901.0,19181.0,20087.0,20281.0,26126.0,23820.0,25762.0,25669.0,
